Route #,Stop #,Delivery Size,Geocoded Address,Name,Street Address,Street Address #2,City,Zip,Meals
Route 10,10,,5270 California Ave Irvine CA,OC Talk Radio,5270 California Ave,Ste 350,Irvine,92617,1
Route 10,11,,2361 Campus Dr Irvine CA,Weston Automotive,2361 Campus Dr,Ste 130,Irvine,92612,1
Route 10,12,,18301 Von Karman Ave Irvine CA,Value Park Realty Partners,18301 Von Karman,Ste 850,Irvine,92612,2
Route 10,13,,18301 Von Karman Ave Irvine CA,Crown Valley Holdings,18301 Von Karman Ave,Ste 510,Irvine,92612,1
Route 10,14,,20 Executive Park Irvine CA,Business Group Resources,20 Executive Park,Ste 120,Irvine,92656,1
Route 10,15,,1900 Main St Irvine CA,Palmieri Tyler,1900 Main Street,Ste 700,Irvine,92614,1
Route 10,16,,5 Corporate Park Irvine CA,iFinance Mortgage,5 Corporate Park,Ste 240,Irvine,92606,1
Route 10,17,,125 Pacifica Irvine CA,Transportation Corridor Agencies,125 Pacifica,,Irvine,92618,1
Route 10,18,,430 Blumont St Laguna Beach CA,AAUW Mission Viejo,430 Blumon Street,,Laguna Beach,92651,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Rising Roots Nutrition,,,Mission Viejo,92692,1
DISMISSED REQUEST,DISMISSED REQUEST,,,The OC Local,,,0,,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Plumtree Marketing,PO Box 1313,,Lake Forest,92609,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Thrvy Automated CRM,,,Aliso Viejo,92656,1
DISMISSED REQUEST,DISMISSED REQUEST,,,HES Notary,,,Mission Viejo,,1
DISMISSED REQUEST,DISMISSED REQUEST,,,PayPro Tec West Coast,,,Mission Viejo,92691,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Devil Mountain Wholesale Nursery,PO Bo 220,,San Juan Capistrano,92693,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Mary Kay,,,Mission Viejo,92692,1
DISMISSED REQUEST,DISMISSED REQUEST,,,Vacation Adventures Unlimited,www.vacationadventuresunlimited.com,,0,,1
DISMISSED REQUEST,DISMISSED REQUEST,,8945 Cal Center Dr Sacramento CA,Golden 1 Credit Union,8945 Cal Center Dr,,Sacramento,95826,1
